n_train,n_val,n_test,positive_rate_train,positive_rate_val,positive_rate_test,roc_auc_val,pr_auc_val,brier_val,roc_auc_test,pr_auc_test,brier_test,best_threshold,val_f1_at_best_threshold,test_f1_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_name,horizon,feature_set,n_features,purge_steps,used_markets,skipped_markets
16405,4990,5285,0.01530021334958854,0.03206412825651302,0.23311258278145697,0.9743103002070393,0.49231302526981113,0.06157689583665444,0.7870406641224554,0.42194019294482216,0.19845393543094722,0.8,0.4880382775119617,0.3344610923151281,0.4133811230585424,0.28084415584415584,purged_time_split_baseline,8min,price+local_depth+total_depth+imbalance,18,16,18,0
16405,4990,5285,0.01530021334958854,0.03206412825651302,0.23311258278145697,0.5292339544513458,0.03231002217468458,0.22200090041958798,0.663550087957934,0.32333126542988355,0.2198151013312122,0.3,0.06310392427529087,0.39430308849415907,0.24556507873231015,1.0,shuffled_label_placebo,8min,price+local_depth+total_depth+imbalance,18,16,18,0
16374,4952,5264,0.01551239770367656,0.030896607431340872,0.23651215805471124,0.973997850859452,0.4795003938557916,0.060570813355914604,0.7894399194189048,0.43115932597285406,0.1969832045271095,0.8,0.48903878583473864,0.34183919114106887,0.4266826923076923,0.285140562248996,purged_time_split_baseline,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
16374,4952,5264,0.01551239770367656,0.030896607431340872,0.23651215805471124,0.4076067045558239,0.024793424149502113,0.2348289140987911,0.5436116199058488,0.2554225185352796,0.24576316996631833,0.4,0.061062487278648485,0.3888802124004373,0.2413726250484684,1.0,shuffled_label_placebo,8min30s,price+local_depth+total_depth+imbalance,18,17,18,0
16347,4911,5242,0.0154768459044473,0.03013642842598249,0.24189240747806182,0.9734226668406807,0.47267120666570217,0.059299824629697226,0.7899354479193623,0.4351374615441793,0.19348641527658478,0.3,0.4774193548387097,0.5484731692855025,0.43942992874109266,0.7294952681388013,purged_time_split_baseline,9min,price+local_depth+total_depth+imbalance,18,18,18,0
16347,4911,5242,0.0154768459044473,0.03013642842598249,0.24189240747806182,0.49612440490038645,0.03438290152552388,0.23825234451650038,0.6462088353477414,0.33178748802961,0.23442416312049466,0.2,0.05864870219932633,0.38961438008910737,0.24193856134325512,1.0,shuffled_label_placebo,9min,price+local_depth+total_depth+imbalance,18,18,18,0
16317,4871,5222,0.015505301219586935,0.029357421474029973,0.24588280352355418,0.9739744181368548,0.44156222882823193,0.057217391776625354,0.7891255266601167,0.44026641562304447,0.19289512200345693,0.6,0.48148148148148145,0.43424604704974934,0.43009931245225363,0.4384735202492212,purged_time_split_baseline,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
16317,4871,5222,0.015505301219586935,0.029357421474029973,0.24588280352355418,0.9013657662134821,0.18217496802661856,0.17805900425788548,0.7387854818218207,0.38755618590484925,0.20396921710992214,0.5,0.2716049382716049,0.508071367884452,0.3991989319092123,0.6985981308411215,shuffled_label_placebo,9min30s,price+local_depth+total_depth+imbalance,18,19,18,0
16289,4832,5199,0.015716127447971025,0.029387417218543047,0.2504327755337565,0.9729796690591309,0.41051750180482627,0.05429803391302134,0.7929186143817746,0.45232901247283125,0.19237618786638155,0.4,0.49477351916376305,0.5153294194390085,0.4478458049886621,0.6067588325652842,purged_time_split_baseline,10min,price+local_depth+total_depth+imbalance,18,20,18,0
16289,4832,5199,0.015716127447971025,0.029387417218543047,0.2504327755337565,0.8992432205171327,0.2518460855777159,0.17500208348620283,0.757420829051612,0.42815978747318506,0.19473765976283772,0.5,0.37258347978910367,0.5300562629552857,0.43132530120481927,0.6874039938556068,shuffled_label_placebo,10min,price+local_depth+total_depth+imbalance,18,20,18,0
