horizon,horizon_seconds,feature_set,n_features,roc_auc_val,pr_auc_val,roc_auc_test,pr_auc_test,best_decision_threshold_by_val_f1,val_accuracy_at_best_threshold,val_precision_at_best_threshold,val_recall_at_best_threshold,val_f1_at_best_threshold,test_accuracy_at_best_threshold,test_precision_at_best_threshold,test_recall_at_best_threshold,test_f1_at_best_threshold
7min,420,total_depth,3,0.8576673355255628,0.28360655175192245,0.8316752049989731,0.18893479310090505,0.5,0.8940702360391479,0.28865979381443296,0.7396226415094339,0.4152542372881356,0.8044731784029355,0.20113085621970922,0.6569920844327177,0.3079777365491651
6min,360,total_depth+imbalance,6,0.8033094420889697,0.2199410675581961,0.8196575285043596,0.18855250109464392,0.7,0.9072263753114816,0.2679324894514768,0.4810606060606061,0.34417344173441733,0.8565695341127203,0.218335343787696,0.5098591549295775,0.30574324324324326
8min30s,510,price+total_depth,9,0.9102771182502752,0.3457310285896746,0.772960664806029,0.18828255976395825,0.6,0.9011918492887351,0.3076923076923077,0.8188976377952756,0.44731182795698926,0.570478024864297,0.12472727272727273,0.8817480719794345,0.21854093660401402
6min30s,390,total_depth,3,0.8565452977592443,0.2715802520505474,0.8370248528275752,0.18636681323943244,0.5,0.8943229766014577,0.2911764705882353,0.7415730337078652,0.41816261879619854,0.8070543041732146,0.1980440097799511,0.6675824175824175,0.30546825895663104
5min,300,price+total_depth+imbalance,12,0.8583093580174845,0.25116604213297494,0.8187471546217957,0.18634121981006158,0.8,0.9314570170400153,0.3377926421404682,0.38697318007662834,0.3607142857142857,0.8801184875413836,0.20491803278688525,0.38109756097560976,0.26652452025586354
8min,480,total_depth,3,0.8605352722772277,0.3011082113716189,0.8240156004121533,0.18580805271892642,0.6,0.9075888568683957,0.2980251346499102,0.6484375,0.40836408364083643,0.8353455818022747,0.20833333333333334,0.5249343832020997,0.29828486204325133
6min,360,total_depth,3,0.8487188664354018,0.26023396184071945,0.8424426768947015,0.1851693054334717,0.6,0.9068430132259919,0.302491103202847,0.6439393939393939,0.4116222760290557,0.8352818007328564,0.1985670419651996,0.5464788732394367,0.2912912912912913
5min30s,330,total_depth+imbalance,6,0.8033281637717121,0.21518867267566535,0.8240985190649359,0.18381187638986468,0.7,0.9084291187739464,0.2670940170940171,0.4807692307692308,0.3434065934065934,0.8563208369659983,0.21084337349397592,0.5087209302325582,0.2981260647359455
8min,480,price+total_depth,9,0.9126512300464741,0.34041268857449003,0.7728413869526152,0.18340548246379254,0.6,0.9014409221902018,0.310192023633678,0.8203125,0.45016077170418006,0.5674540682414698,0.12160694896851248,0.8818897637795275,0.21374045801526717
5min30s,330,total_depth,3,0.8517044044665012,0.25814136953417344,0.8457663073253008,0.18115774950961605,0.6,0.907088122605364,0.29874776386404295,0.6423076923076924,0.4078144078144078,0.8341761115954665,0.18998978549540346,0.5406976744186046,0.2811791383219955
10min,600,local_depth+imbalance,9,0.8041189353099729,0.17347030484015616,0.7950797368919176,0.17917341114568464,0.7,0.7902946273830156,0.16339869281045752,0.7547169811320755,0.2686366689053056,0.7410071942446043,0.1791767554479419,0.7115384615384616,0.2862669245647969
1min,60,local_depth,6,0.8471851370170451,0.08437600090589535,0.9102844504137069,0.17879604956686748,0.7,0.8017914999047074,0.10281195079086115,0.8602941176470589,0.1836734693877551,0.7858256801247617,0.1129737609329446,0.8908045977011494,0.20051746442432083
5min,300,price+total_depth,9,0.9162300147789868,0.30059082409479404,0.7924062771860392,0.17795041273225587,0.6,0.8991001340225924,0.3055555555555556,0.8007662835249042,0.44232804232804235,0.6009757797525701,0.11769290724863601,0.9207317073170732,0.20870767104353835
2min30s,150,local_depth+imbalance,9,0.8101428135282743,0.09238535266500895,0.8581872194641385,0.17603216455524767,0.7,0.7875143184421535,0.12417218543046357,0.7317073170731707,0.21231422505307856,0.7478728945997569,0.13097454996896338,0.8022813688212928,0.22518676627534684
4min,240,price+total_depth+imbalance,12,0.8487511715474291,0.20840064196063296,0.8207978841263756,0.17592726101211334,0.8,0.9294320137693631,0.292358803986711,0.36065573770491804,0.3229357798165138,0.8848094658082478,0.20608108108108109,0.3885350318471338,0.2693156732891832
1min30s,90,local_depth,6,0.8225837079042625,0.08399658548059023,0.8917164091811385,0.17540147173455645,0.7,0.7953852021357742,0.11544991511035653,0.8143712574850299,0.20223048327137547,0.7757933067452748,0.12230715774843641,0.8543689320388349,0.21398176291793314
4min30s,270,price+total_depth+imbalance,12,0.8557742830451522,0.22988685769556544,0.816960561076495,0.17438979777652988,0.8,0.9307309605817069,0.32441471571906355,0.377431906614786,0.3489208633093525,0.8838586104823263,0.20202020202020202,0.38338658146964855,0.26460859977949286
2min30s,150,local_depth,6,0.8078225177244818,0.09162448019427792,0.8620884320985605,0.17373806934222927,0.7,0.7865597556319206,0.12303881090008258,0.7268292682926829,0.21045197740112995,0.7492620246570585,0.13300186451211932,0.8136882129277566,0.22863247863247863
5min,300,total_depth+imbalance,6,0.8071133719718133,0.2174098615376011,0.8219294706807723,0.1722677980440335,0.7,0.903312272640245,0.25502008032128515,0.48659003831417624,0.3346508563899868,0.8553755009583551,0.19831730769230768,0.5030487804878049,0.28448275862068967
1min30s,90,local_depth+imbalance,9,0.8212662718683177,0.08303618920388367,0.8861165572302251,0.17125148012050126,0.7,0.7953852021357742,0.11544991511035653,0.8143712574850299,0.20223048327137547,0.7723252991156581,0.12114989733059549,0.8592233009708737,0.21235752849430115
5min,300,total_depth,3,0.8539505606594794,0.2589166490033101,0.8440980658189505,0.16902761356473195,0.5,0.8946965345586827,0.2884333821376281,0.7547892720306514,0.4173728813559322,0.8022303537201603,0.17485898468976632,0.6615853658536586,0.2766093052899936
7min,420,local_depth+imbalance,9,0.8091760828266029,0.1637461963463603,0.8078574052422858,0.16860917971165265,0.7,0.791594703511802,0.16653127538586515,0.7735849056603774,0.27406417112299464,0.7399965053293727,0.16656644618159952,0.7308707124010554,0.2713026444662096
4min30s,270,price+total_depth,9,0.9132449983673092,0.27749980471245506,0.787581710883213,0.16850731137694047,0.6,0.8974358974358975,0.29694323144104806,0.7937743190661478,0.4322033898305085,0.5996865749608219,0.11180609851446442,0.9137380191693291,0.19923371647509577
3min30s,210,price+total_depth+imbalance,12,0.8537072948837655,0.2129774308136492,0.8195461521460788,0.16809945034056736,0.8,0.9315749235474006,0.2905405405405405,0.36752136752136755,0.32452830188679244,0.8859328812380456,0.19627749576988154,0.39057239057239057,0.26126126126126126
4min,240,total_depth+imbalance,6,0.7952151536576945,0.18132115234122392,0.8333010934592917,0.16803104367056218,0.8,0.9166188563778925,0.23626373626373626,0.3524590163934426,0.28289473684210525,0.8728032016704368,0.19202363367799113,0.4140127388535032,0.2623612512613522
7min30s,450,local_depth+imbalance,9,0.8040177464872007,0.15462714770015493,0.8021571978827322,0.16786150888202322,0.7,0.7912826420890937,0.16666666666666666,0.7677902621722846,0.2738810955243821,0.7401643643993705,0.16897173782321107,0.7298701298701299,0.2744140625
6min30s,390,local_depth+imbalance,9,0.8141104698568875,0.1688632859340025,0.8144259711945708,0.16738979985624738,0.7,0.7942079018028385,0.17235772357723578,0.7940074906367042,0.2832331329325317,0.7434957220185088,0.16575922565033274,0.7527472527472527,0.27169062964799207
8min30s,510,local_depth+imbalance,9,0.7960354617152242,0.1500745932127521,0.7971320482761086,0.16693915784155863,0.7,0.7891195693963861,0.1553556827473426,0.7480314960629921,0.25727826675693977,0.7390999824899317,0.16897173782321107,0.7223650385604113,0.27387914230019494
9min30s,570,local_depth+imbalance,9,0.7998271900500933,0.16705818885855858,0.7895761748735569,0.16607664186427812,0.7,0.7896458814472671,0.16094771241830066,0.7490494296577946,0.2649630127774042,0.7389093459582676,0.1694915254237288,0.7052896725440806,0.2733040507564666
8min,480,local_depth+imbalance,9,0.7965103429985855,0.14109111290244258,0.7991801221697681,0.16528319268502845,0.7,0.7890489913544668,0.15604575163398693,0.74609375,0.2581081081081081,0.7384076990376203,0.16526442307692307,0.7217847769028871,0.26894865525672373
4min,240,price+total_depth,9,0.9108538730946939,0.2602710303044672,0.7861581910968709,0.16504652701218106,0.6,0.8946261235417862,0.2772133526850508,0.7827868852459017,0.40943193997856375,0.5921350269705934,0.1111111111111111,0.9235668789808917,0.19835841313269495
7min,420,local_depth,6,0.8092371193798686,0.1635698962532436,0.8042847352787829,0.1638400580856545,0.7,0.791402801765496,0.1663961038961039,0.7735849056603774,0.2738810955243821,0.7396470382666434,0.16556291390728478,0.7255936675461742,0.2696078431372549
4min30s,270,total_depth+imbalance,6,0.802487484661712,0.19975308958355006,0.8273107043463424,0.1633339905110703,0.7,0.8999234596249521,0.23921568627450981,0.47470817120622566,0.318122555410691,0.8551279818909977,0.18847539015606243,0.5015974440894568,0.27399650959860383
7min30s,450,local_depth,6,0.8036122121179734,0.1541256150825188,0.7999060182412263,0.16325595380016192,0.7,0.7903225806451613,0.1654501216545012,0.7640449438202247,0.272,0.739639797167337,0.16787003610108303,0.7246753246753247,0.27259404005862237
9min,540,local_depth+imbalance,9,0.7975545305969722,0.16394254933863917,0.7888351955227011,0.16272416319003144,0.7,0.790151952298519,0.16163265306122448,0.7557251908396947,0.26630800268997984,0.7390923427369896,0.1686819830713422,0.7099236641221374,0.27259404005862237
