horizon,horizon_seconds,feature_set,n_features,decision_threshold,val_accuracy,val_precision,val_recall,val_f1,test_accuracy,test_precision,test_recall,test_f1
10min,600,total_depth+imbalance,6,0.3,0.31600231080300406,0.06509658639851813,0.9283018867924528,0.12166172106824925,0.4188454114756975,0.10480349344978165,0.9230769230769231,0.18823529411764706
10min,600,total_depth+imbalance,6,0.4,0.5948392066243019,0.0982961992136304,0.8490566037735849,0.17619420516836334,0.7238111949464818,0.18634886240520043,0.8269230769230769,0.3041556145004421
10min,600,total_depth+imbalance,6,0.5,0.7282880801078375,0.12549019607843137,0.7245283018867924,0.2139275766016713,0.7999649061238814,0.22067901234567902,0.6875,0.3341121495327103
10min,600,total_depth+imbalance,6,0.6,0.8091661852493741,0.15296367112810708,0.6037735849056604,0.2440884820747521,0.8243551500263204,0.22431668237511782,0.5721153846153846,0.3222748815165877
10min,600,total_depth+imbalance,6,0.7,0.9145002888503755,0.2979683972911964,0.4981132075471698,0.3728813559322034,0.8557641691524829,0.2512254901960784,0.49278846153846156,0.3327922077922078
10min,600,total_depth+imbalance,6,0.8,0.9245137685345658,0.3190883190883191,0.4226415094339623,0.36363636363636365,0.8624320056150202,0.2465564738292011,0.43028846153846156,0.3134851138353765
10min,600,total_depth+imbalance,6,0.9,0.9439630271519353,0.4322916666666667,0.3132075471698113,0.36323851203501095,0.8876995964204246,0.23333333333333334,0.23557692307692307,0.23444976076555024
10min,600,total_depth+imbalance,6,1.0,0.9489697669940305,0.0,0.0,0.0,0.927004737673276,0.0,0.0,0.0
1min,60,imbalance,3,0.1,0.02591957308938441,0.02591957308938441,1.0,0.05052944454765001,0.03015075376884422,0.03015075376884422,1.0,0.05853658536585366
1min,60,imbalance,3,0.2,0.02591957308938441,0.02591957308938441,1.0,0.05052944454765001,0.03015075376884422,0.03015075376884422,1.0,0.05853658536585366
1min,60,imbalance,3,0.3,0.09014675052410902,0.02692778457772338,0.9705882352941176,0.05240174672489083,0.10743372032576677,0.032148900169204735,0.9827586206896551,0.0622610595303113
1min,60,imbalance,3,0.4,0.462359443491519,0.034984412885348114,0.7426470588235294,0.0668210387032749,0.586380176745798,0.05436971405557793,0.7758620689655172,0.10161836657884833
1min,60,imbalance,3,0.5,0.6403659233847913,0.034060670569451834,0.47058823529411764,0.06352357320099256,0.8393692600935713,0.10158730158730159,0.5517241379310345,0.17158176943699732
1min,60,imbalance,3,0.6,0.7560510768057938,0.032679738562091505,0.29411764705882354,0.058823529411764705,0.9322474441171374,0.1702127659574468,0.3218390804597701,0.22266401590457258
1min,60,imbalance,3,0.7,0.8166571374118544,0.02528735632183908,0.16176470588235295,0.0437375745526839,0.9594524345867267,0.2169811320754717,0.13218390804597702,0.16428571428571428
1min,60,imbalance,3,0.8,0.8745950066704784,0.01845018450184502,0.07352941176470588,0.029498525073746312,0.9698492462311558,0.5,0.06321839080459771,0.11224489795918367
1min,60,imbalance,3,0.9,0.9742710120068611,1.0,0.007352941176470588,0.014598540145985401,0.969675966037082,0.0,0.0,0.0
1min,60,imbalance,3,1.0,0.9740804269106156,0.0,0.0,0.0,0.9698492462311558,0.0,0.0,0.0
1min,60,local_depth,6,0.1,0.6340766152086906,0.06487804878048781,0.9779411764705882,0.12168344007319305,0.6463351238953388,0.07817442385901491,0.9942528735632183,0.1449518223711772
1min,60,local_depth,6,0.2,0.6544692205069563,0.06800618238021638,0.9705882352941176,0.1271064034665383,0.6567319355397678,0.07957189390414146,0.9827586206896551,0.14722341799397332
1min,60,local_depth,6,0.3,0.6826758147512865,0.0736196319018405,0.9705882352941176,0.1368584758942457,0.6638364234967943,0.08072174738841406,0.9770114942528736,0.14912280701754385
1min,60,local_depth,6,0.4,0.6941109205260149,0.07567879838243789,0.9632352941176471,0.14033208355650775,0.6761393172760354,0.08353808353808354,0.9770114942528736,0.15391579900407423
1min,60,local_depth,6,0.5,0.7105012388031255,0.07861060329067641,0.9485294117647058,0.14518851997749016,0.6910414139663836,0.08637532133676093,0.9655172413793104,0.15856536101934876
1min,60,local_depth,6,0.6,0.7693920335429769,0.09379727685325265,0.9117647058823529,0.1700960219478738,0.7354011436492809,0.09660107334525939,0.9310344827586207,0.17504051863857376
1min,60,local_depth,6,0.7,0.8017914999047074,0.10281195079086115,0.8602941176470589,0.1836734693877551,0.7858256801247617,0.1129737609329446,0.8908045977011494,0.20051746442432083
1min,60,local_depth,6,0.8,0.8313321898227558,0.08249721293199554,0.5441176470588235,0.14327202323330107,0.9178651880090106,0.1887966804979253,0.5229885057471264,0.2774390243902439
1min,60,local_depth,6,0.9,0.9731275014293882,0.2222222222222222,0.014705882352941176,0.027586206896551724,0.969675966037082,0.0,0.0,0.0
1min,60,local_depth,6,1.0,0.9740804269106156,0.0,0.0,0.0,0.9698492462311558,0.0,0.0,0.0
1min,60,local_depth+imbalance,9,0.1,0.6306460834762722,0.06431334622823985,0.9779411764705882,0.1206896551724138,0.6465084040894126,0.07820976491862568,0.9942528735632183,0.14501257334450965
1min,60,local_depth+imbalance,9,0.2,0.6590432628168478,0.06930693069306931,0.9779411764705882,0.12944038929440388,0.6548258534049558,0.07916666666666666,0.9827586206896551,0.14652956298200515
1min,60,local_depth+imbalance,9,0.3,0.6836287402325139,0.0738255033557047,0.9705882352941176,0.13721413721413722,0.6633165829145728,0.08060692271218586,0.9770114942528736,0.14892685063512923
1min,60,local_depth+imbalance,9,0.4,0.6984943777396607,0.07669789227166277,0.9632352941176471,0.1420824295010846,0.6749263559175186,0.0832517140058766,0.9770114942528736,0.15342960288808663
1min,60,local_depth+imbalance,9,0.5,0.7354678864112827,0.08488063660477453,0.9411764705882353,0.15571776155717762,0.6856697279500953,0.0845997973657548,0.9597701149425287,0.15549348230912477
1min,60,local_depth+imbalance,9,0.6,0.7629121402706308,0.09084194977843427,0.9044117647058824,0.1651006711409396,0.7373072257840929,0.09723889555822329,0.9310344827586207,0.17608695652173914
1min,60,local_depth+imbalance,9,0.7,0.8006479893272346,0.10227272727272728,0.8602941176470589,0.1828125,0.7872119216773523,0.1125,0.8793103448275862,0.19947848761408082
1min,60,local_depth+imbalance,9,0.8,0.8282828282828283,0.0801317233809001,0.5367647058823529,0.13944603629417382,0.9197712701438225,0.1879049676025918,0.5,0.2731554160125589
1min,60,local_depth+imbalance,9,0.9,0.9729369163331427,0.2,0.014705882352941176,0.0273972602739726,0.969675966037082,0.3333333333333333,0.005747126436781609,0.011299435028248588
1min,60,local_depth+imbalance,9,1.0,0.9740804269106156,0.0,0.0,0.0,0.9698492462311558,0.0,0.0,0.0
1min,60,local_depth+total_depth,9,0.1,0.6470364017533828,0.06710393541876893,0.9779411764705882,0.125590179414542,0.6506671287471842,0.07906764168190128,0.9942528735632183,0.14648602878916173
1min,60,local_depth+total_depth,9,0.2,0.6803887935963407,0.07360265633646929,0.9779411764705882,0.13690169840452907,0.6659157858256801,0.08198284080076262,0.9885057471264368,0.15140845070422534
1min,60,local_depth+total_depth,9,0.3,0.7030684200495522,0.07879146919431279,0.9779411764705882,0.14583333333333334,0.7310691387974354,0.09941860465116278,0.9827586206896551,0.1805702217529039
1min,60,local_depth+total_depth,9,0.4,0.7631027253668763,0.0968681718863802,0.9779411764705882,0.17627567925778662,0.7872119216773523,0.12140804597701149,0.9712643678160919,0.21583652618135377
1min,60,local_depth+total_depth,9,0.5,0.8097960739470174,0.11379928315412187,0.9338235294117647,0.20287539936102236,0.8646681684283486,0.17815482502651114,0.9655172413793104,0.3008057296329454
1min,60,local_depth+total_depth,9,0.6,0.8707833047455689,0.15433673469387754,0.8897058823529411,0.26304347826086955,0.8923929994801594,0.20860495436766624,0.9195402298850575,0.34006376195536664
1min,60,local_depth+total_depth,9,0.7,0.9119496855345912,0.20036764705882354,0.8014705882352942,0.3205882352941177,0.9038294922890313,0.21266968325791855,0.8103448275862069,0.33691756272401435
1min,60,local_depth+total_depth,9,0.8,0.9231942062130741,0.2,0.6544117647058824,0.306368330464716,0.9135331831571651,0.19397363465160075,0.5919540229885057,0.29219858156028367
1min,60,local_depth+total_depth,9,0.9,0.9380598437202211,0.20923076923076922,0.5,0.2950108459869848,0.9235834344134466,0.20134228187919462,0.5172413793103449,0.2898550724637681
1min,60,local_depth+total_depth,9,1.0,0.9740804269106156,0.0,0.0,0.0,0.9698492462311558,0.0,0.0,0.0
1min,60,local_depth+total_depth+imbalance,12,0.1,0.6535162950257289,0.06827515400410678,0.9779411764705882,0.1276391554702495,0.6494541673886675,0.07881548974943052,0.9942528735632183,0.14605318699873365
1min,60,local_depth+total_depth+imbalance,12,0.2,0.6813417190775681,0.07380688124306327,0.9779411764705882,0.13725490196078433,0.6645295442730896,0.08167141500474834,0.9885057471264368,0.15087719298245614
1min,60,local_depth+total_depth+imbalance,12,0.3,0.7215551743853631,0.08359522313010685,0.9779411764705882,0.15402431962941518,0.7360942644255761,0.10112359550561797,0.9827586206896551,0.18337801608579088
1min,60,local_depth+total_depth+imbalance,12,0.4,0.7573851724795121,0.09421841541755889,0.9705882352941176,0.17176317501626545,0.7976087333217813,0.12743628185907047,0.9770114942528736,0.22546419098143236
1min,60,local_depth+total_depth+imbalance,12,0.5,0.7815894797026872,0.10110584518167456,0.9411764705882353,0.1825962910128388,0.8735054583261134,0.18764044943820224,0.9597701149425287,0.31390977443609025
1min,60,local_depth+total_depth+imbalance,12,0.6,0.844673146559939,0.13217768147345613,0.8970588235294118,0.23040604343720492,0.89377924103275,0.20927152317880796,0.9080459770114943,0.3401506996770721
1min,60,local_depth+total_depth+imbalance,12,0.7,0.9127120259195731,0.19962686567164178,0.7867647058823529,0.31845238095238093,0.9036562120949575,0.2132132132132132,0.8160919540229885,0.3380952380952381
1min,60,local_depth+total_depth+imbalance,12,0.8,0.923956546598056,0.20045558086560364,0.6470588235294118,0.3060869565217391,0.9131866227690175,0.19439252336448598,0.5977011494252874,0.2933709449929478
1min,60,local_depth+total_depth+imbalance,12,0.9,0.9430150562226034,0.22184300341296928,0.47794117647058826,0.30303030303030304,0.9234101542193728,0.19955156950672645,0.5114942528735632,0.2870967741935484
