horizon,feature_set,feature,coefficient,abs_coefficient
2min,price+total_depth,best_no_bid,0.11778415552865246,0.11778415552865246
2min,price+total_depth,spread,0.029370208059281942,0.029370208059281942
2min,price+imbalance,imbalance_top1,0.3088599469394479,0.3088599469394479
2min,price+imbalance,imbalance_top5,0.287025385766081,0.287025385766081
2min,price+imbalance,best_yes_bid,-0.05549478611728323,0.05549478611728323
2min,price+imbalance,best_no_ask,0.05549478611728278,0.05549478611728278
2min,price+imbalance,midprice,-0.05511144171822927,0.05511144171822927
2min,price+imbalance,best_yes_ask,-0.05471998146797479,0.05471998146797479
2min,price+imbalance,best_no_bid,0.05471998146797467,0.05471998146797467
2min,price+imbalance,spread,0.03977299386700888,0.03977299386700888
2min,price+imbalance,imbalance_top3,0.03191288857489451,0.03191288857489451
2min,local_depth+total_depth,no_depth_top3,-4.122691620977067,4.122691620977067
2min,local_depth+total_depth,yes_depth_top3,-2.4318680868715212,2.4318680868715212
2min,local_depth+total_depth,no_depth_top5,-1.881282692600284,1.881282692600284
2min,local_depth+total_depth,yes_depth_top1,1.5516152582286589,1.5516152582286589
2min,local_depth+total_depth,yes_depth_top5,-1.3527812566344775,1.3527812566344775
2min,local_depth+total_depth,no_depth_top1,0.9249318910594558,0.9249318910594558
2min,local_depth+total_depth,yes_total_depth,0.8263444426710221,0.8263444426710221
2min,local_depth+total_depth,total_depth,0.4672611846483491,0.4672611846483491
2min,local_depth+total_depth,no_total_depth,0.1847971780305416,0.1847971780305416
2min,local_depth+imbalance,no_depth_top3,-5.859246279301675,5.859246279301675
2min,local_depth+imbalance,yes_depth_top3,-3.6997433234850634,3.6997433234850634
2min,local_depth+imbalance,yes_depth_top1,1.956397086467612,1.956397086467612
2min,local_depth+imbalance,no_depth_top1,1.903176298978724,1.903176298978724
2min,local_depth+imbalance,no_depth_top5,-0.32672483270441527,0.32672483270441527
2min,local_depth+imbalance,yes_depth_top5,-0.2589738329392192,0.2589738329392192
2min,local_depth+imbalance,imbalance_top1,0.18896633566058868,0.18896633566058868
2min,local_depth+imbalance,imbalance_top3,-0.08011842224098811,0.08011842224098811
2min,local_depth+imbalance,imbalance_top5,-0.04739245084771798,0.04739245084771798
